    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.26s
     Running tests/e2e.rs (target/debug/deps/e2e-02710646dbc0f7d8)

running 6962 tests
test fixture_test_o0::global_import_wado ... ok
test fixture_test_o0::global_multimod_same_name_wado ... ok
test fixture_test_o0::global_multimod_wado ... ok
test fixture_test_o0::global_nullable_option_ref_wado ... ok
test fixture_test_o0::hfs_aliased_local_whole_read_wado ... ok
test fixture_test_o0::hfs_break_from_scalar_state_commits_wado ... ok
test fixture_test_o0::hfs_call_as_match_scrutinee_wado ... ok
test fixture_test_o0::hfs_closure_in_loop_body_wado ... ok
test fixture_test_o0::hfs_consecutive_mut_calls_no_inter_sync_wado ... ok
test fixture_test_o0::hfs_duplicate_mut_ref_args_wado ... ok
test fixture_test_o0::hfs_early_return_with_wrapped_call_wado ... ok
test fixture_test_o0::hfs_if_condition_call_then_scalar_wado ... ok
test fixture_test_o0::hfs_if_let_value_non_unit_wado ... ok
test fixture_test_o0::hfs_inline_arm_mixed_with_call_arm_wado ... ok
test fixture_test_o0::hfs_inline_break_no_writeback_wado ... ok
test fixture_test_o0::hfs_match_arm_local_hoisted_out_of_loop_wado ... ok
test fixture_test_o0::hfs_match_guard_with_call_wado ... ok
test fixture_test_o0::hfs_match_guard_cross_arm_side_effect_wado ... ok
test fixture_test_o0::hfs_match_guarded_arm_wado ... ok
test fixture_test_o0::hfs_match_let_value_non_unit_wado ... ok
test fixture_test_o0::hfs_match_nested_in_block_wado ... ok
test fixture_test_o0::hfs_match_scalar_arm_mixed_with_call_arm_wado ... ok
test fixture_test_o0::hfs_multi_call_in_expression_wado ... ok
test fixture_test_o0::hfs_nested_loop_iter_n_back_edge_wado ... ok
test fixture_test_o0::http_200_wado ... ok
test fixture_test_o0::http_500_wado ... ok
test fixture_test_o0::http_400_wado ... ok
test fixture_test_o0::http_base64_decode_wado ... ok
test fixture_test_o0::http_body_contains_wado ... ok
test fixture_test_o0::http_client_advanced_wado ... ok
test fixture_test_o0::http_client_request_full_wado ... ok
test fixture_test_o0::http_client_send_error_wado ... ok
test fixture_test_o0::http_client_send_body_read_wado ... ok
test fixture_test_o0::http_client_send_proxy_wado ... ok
test fixture_test_o0::http_client_send_simple_wado ... ok
test fixture_test_o0::http_drop_unused_request_wado ... ok
test fixture_test_o0::http_client_send_with_body_wado ... ok
test fixture_test_o0::http_drop_value_block_wado ... ok
